No,Ulasan,Ulasan_Preprocessed,Sentiment_Asli,Sentiment(Linear),Sentiment(RBF)
606,"mau isi data kendaraan aja susah banget, opsi pilihan kendaraan milik sendiri/ satu kaka ga semua orang beli motor baru atas nama sendiri yg beli motor bekas atas nama orang lain gimana cara daftarnya gaada opsi pilihan.. aplikasi yg katanya memudahkan malah ga berguna sama sekali",isi data kendara susah banget opsi pilih kendara milik kakak orang beli motor nama beli motor bekas nama orang daftar opsi pilih aplikasi mudah guna,negatif,negatif,negatif
607,proses cepat mantap,proses cepat mantap,positif,positif,positif
608,tambahin fitur upload foto,tambah fitur upload foto,negatif,negatif,negatif
609,Pelayanan mudah dan cepat,layan mudah cepat,positif,positif,positif
610,"keren, cepet, no antrian, no calo dari oknum supaya cepet, ajukan, bayar, tunggu dirumah di antar pos. sipp kalau bisa pengurusan/perpanjangan SIM juga dibuat seperti ini.",keren cepat no antri no calo oknum cepat aju bayar tunggu rumah pos sip pengurusanperpanjangan sim,positif,positif,positif
611,mantap sangat terbantu,mantap bantu,positif,positif,positif
612,aplikasi hang mulu,aplikasi hang mulu,negatif,negatif,negatif
613,sangat mempermudah pembayaran pajak kendaraan bermotor,mudah bayar pajak kendara motor,positif,positif,positif
614,mantap dan cepat,mantap cepat,positif,positif,positif
615,"saat registrasi gagal karena foto ktp dan wajah asli tidak sesuai, ya gimana ga sesuai foto ktp tahun 2013 gw masih kurus, skrg regis tahun 2026 udah gendutan, kacau",registrasi gagal foto ktp wajah asli sesuai ya sesuai foto ktp gue kurus regis gendut kacau,negatif,negatif,negatif
616,Memudahkan pembayaran dan pemrosesan,mudah bayar pemrosesan,positif,positif,positif
617,terbaiklaa👍🏻👍🏻,terbaiklaa,positif,positif,positif
618,"setelah update malah makin buruk, dikit2 loading apalah ini app sangat tdk membantu",update buruk dikit loading apa app bantu,negatif,negatif,negatif
619,Gampang dan cepet sampai nya.. Sangat menolong buat perpanjang STNK bila tidak sempet ngurus langsung ke Samsat..,gampang cepat ya tolong panjang stnk urus langsung samsat,positif,positif,positif
620,"setalah update bukan lebih baik malah jadi lebih jelek mohon segera perbaiki,",seta update jelek mohon baik,negatif,negatif,negatif
621,aplikasi yang bagus. membantu saya disela sela kesibukan. tanpa harus ke samsat. ok,aplikasi bagus bantu sela sibuk samsat ok,positif,positif,positif
622,"signal keren ,,, pelayanan online terbaik 👍",signal keren layan online baik,positif,positif,positif
623,sngat Membantu joss,sngat bantu joss,positif,positif,positif
624,👍baik,nan,positif,positif,positif
625,"sangat membantu sekali, proses cepat dan mudah digunakan. tingkatkan terus pelayanannya kereenn",bantu proses cepat mudah tingkat layan keren,positif,positif,positif
626,sangat membantu untuk pemilik kendaraan yg bukan atas nama nya di STNK nya,bantu milik kendara nama ya stnk ya,positif,positif,positif
627,cara mudah dan cepat saya sangat puas,mudah cepat puas,positif,positif,positif
628,"sangat membantu ,tidak usah repot2 ke samsat 🙏🏻🙏🏻",bantu repot samsat,positif,positif,positif
629,"Dari segi aplikasinya bagus, pembayaran lancar, update data cepat, cuma pemrosesan berkasnya di Samsat terlalu lama sampai 1 minggu, kirain pakai express beneran 1 hari seperti belanja online pakai instant, ternyata ngga. Kalau dari Pos expressnya sudah benar sehari sampai dari sistem trackingnya, semoga ke depannya lebih baik lagi.",segi aplikasi bagus bayar lancar update data cepat pemrosesan berkas samsat minggu pakai express benar belanja online pakai instant pos expressnya hari sistem trackingnya moga depan,positif,positif,positif
630,"cukup membantu jadi gx harus antri""",bantu antri,positif,positif,positif
631,sudah ku terima STNK tapi lama prosesnya,ku terima stnk proses,positif,positif,positif
632,"Udah 2x bayar online, sangat mudah.. Terimakasih.. 🙏",kali bayar online mudah terimakasih,positif,positif,positif
633,Sangat bagus banget pelayanannya dan pengirimanya cepet...,bagus banget layan pengirimanya cepat,positif,positif,positif
634,Terima Kasih,terima kasih,positif,positif,positif
635,"Mau bayar pajak bukan kedaraan sendiri kok susah banget, udah masuk akun sendiri udah verifikasi ktp pake selfie segala (kek pinjol aja), tetep gak bisa tulisannnya ""Gagal! Layanan sementara belum tersedia. Silahkan daftar akun untuk melakukan pembayaran pajak."" Padahal udah daftar udah masuk akunnya. Kudu kumaha ieu teu bisa mayar online ieu teh?",bayar pajak dara susah banget masuk akun verifikasi ktp pakai selfie kayak pinjol tulisannnya gagal layan sedia sila daftar akun bayar pajak daftar masuk akun kudu maha ieu teu mayar online ieu teh,negatif,negatif,negatif
636,total pembayaran lebih banyak (selisih) daripada rinciannya,total bayar selisih rinciannya,negatif,negatif,negatif
637,mantap sangat membantu,mantap bantu,positif,positif,positif
638,"pembayaran dr tgl 6 Januari 2026, smpai sekarang dokumen ny gak nyampe²...hadeuhh parah bget,ini kesalahan dr via posnya apa dr Samsat ny ya????? tlong di up dong",bayar tanggal januari dokumen nya nyampehadeuhh parah bgetini salah via pos samsat nya ya tlong up,negatif,negatif,negatif
639,Mantap ga harus ke samsat & mengantri. buka aplikasi bayar tunggu 3 atau 4 hari dokumen STNK sudah kita terima.,mantap samsat antri buka aplikasi bayar tunggu dokumen stnk terima,positif,positif,positif
640,"tahun kemarin bisa lewat signal saya bersyukur sekali karena sudah terbantu tanpa ke Jawabarat cukup di rumah, tetapi tahun ini setelah di update tidak bisa melakukan pembayaran, sampai apa ada yang salah, sampai daftar kendaraan saya hapus dulu setelah itu mau saya daftarkan kembali, malah tidak bisa dengan alasan nrkb tidak di temukan padahal tahun lalu bayar pakai ini lancar, tolong ada yang sama??",kemarin signal syukur bantu jawabarat rumah update bayar salah daftar kendara hapus daftar alas nrkb temu bayar pakai lancar tolong,negatif,negatif,negatif
641,"kemarin kemarin udah enak, bayarnya gampang, kok sekarang malah gk bisa perpanjang STNK nya, malah disuruh offline, hadehhh",kemarin kemarin enak bayar gampang panjang stnk ya suruh offline hadehhh,negatif,positif,negatif
642,walaupun nunggu seminggu tapi tetep yampe,tunggu minggu yampe,positif,positif,positif
643,"Untuk yang belum pernah, proses kirim fisik lembar pajak itu akan sampe rumah estimasi 1 bulan lebih, jadi bukan estimasi 7 hari",proses kirim fisik lembar pajak rumah estimasi estimasi,positif,positif,positif
644,"sangat mempermudah walaupun hanya pajak tahunan . berharap kedepan bisa 5 thnan jg, biar gk cape2 ngantri .",mudah pajak tahun harap depan tahun biar capek antri,positif,positif,positif
645,"Tolong donk tidak usah pakai verfikasi wajah... Kami yang beli mobil second atau bekas susah.. Kami mau taat pajak, jangan dipersulit! Mau balik nama biaya nya sangat mahal.. Dan pembayaran kan bisa pakai payment Gateway min biar ga ribet wah.. jdi kluar lsg bsa bayar smua bank... Proyek pemerintah kok ga bagus si... developer nya suruh belajar dulu. masa bayar pakai BRI harus pakai kode wilyahah.. bayar pakai bank masih kena admin lagi 10.000... ekpdsi nya mahal gila, masa satu kabupaten 30an",tolong pakai verfikasi wajah beli mobil second bekas susah taat pajak sulit nama biaya ya mahal bayar pakai payment gateway min biar ribet langsung bayar bank proyek perintah bagus sih developer ya suruh ajar bayar pakai bri pakai kode wilyahah bayar pakai bank kena admin ekpdsi ya mahal gila kabupaten an,negatif,negatif,negatif
646,"perna aku pakai perpanjangan SIM tapi aku banyak kesulitan,Akirnya aku perpanjangan SIM di mobil sIM",pakai panjang sim kesulitanakirnya panjang sim mobil sim,positif,positif,positif
647,keren...sangat membantu,kerensangat bantu,positif,positif,positif
648,ngga bisa d pakek,pakai,negatif,negatif,negatif
649,sangat membantu sekali✍🏻👍🏻👍🏻👍🏻,bantu,positif,positif,positif
650,mantap amanah. josss,mantap amanah josss,positif,positif,positif
651,Layanan yang Flexible dan simple. Terima kasih,layan flexible simple terima kasih,positif,positif,positif
652,Mempermudah dalam pembayaran pajak tahunan kendaraan bermotor. proses & pengiriman cepat. Orang bijak taat pajak 😉,mudah bayar pajak tahun kendara motor proses kirim cepat orang bijak taat pajak,positif,positif,positif
653,foto tidak cocok dengan KTP.. lha iya dlu muda skrg tua. kurang canggih ni apk,foto cocok ktp iya muda tua canggih nih apk,negatif,negatif,negatif
654,alhamdulillah sangat amat membantu,alhamdulillah bantu,positif,positif,positif
655,"Aplikasi ini sangat membantu sekali, sudah 2 tahun bayar pajak lewat aplikasi SIGNAL, lacak pengirimannya dibuat lebih lengkap lagi",aplikasi bantu bayar pajak aplikasi signal lacak kirim lengkap,positif,positif,positif
656,"signal sangat membantu saya memberi kemudahan dalam pembayaran atau perpanjang stnk, terima kasih",signal bantu mudah bayar panjang stnk terima kasih,positif,positif,positif
657,sangat membantu disaat kita sibuk bekerja,bantu saat sibuk,positif,positif,positif
658,mantapp. prosesnya cepet,mantap proses cepat,positif,positif,positif
659,"keren bgt pakai signal udh mah murah gak mahal di biro jasa kena sampe 1,7 disini 1,5 an udh gitu syaa byar tgl 28 Januari 2026 sampai rumah STNK fisik nya tgl 31 Januari 2026 kerennn ni aplikasi memudahkan bgt jgn ragu perpanjang pajak pakai aplikasi signal ini gayssss",keren banget pakai signal mah murah mahal biro jasa kena an syaa byar tanggal januari rumah stnk fisik ya tanggal januari keren nih aplikasi mudah banget ragu panjang pajak pakai aplikasi signal gayssss,positif,positif,positif
660,"mantap, .. sangat membantu jadi ngurangin ongkos bagi perantauan yg jauh klu mau pajak tahunan",mantap bantu ngurangin ongkos rantau pajak tahun,positif,positif,positif
661,"mantap, pelayanan cepat dan sangat membantu. dipertahankan!!!",mantap layan cepat bantu tahan,positif,positif,positif
662,transaksi tgl 28 jan 26 & tgl 31 jan 26 stnk fisik sdh diterima. mohon layanan yg blm tersedia segera diaktifkan jg ya min krn app ini sgt membantu sekali bagi sy yg mager pergi kesamsat.. terimakasih,transaksi tanggal tanggal stnk fisik terima mohon layan sedia aktif ya min app bantu mager pergi kesamsat terimakasih,positif,positif,positif
663,"aplikasi makin ngk jelas tahun sebelumnya pembayaran mudah bisa lewat Virtual BCA, lah sekarang harus pakai myBCA otomatis kita harus dowload lagi daftar lagi myBCA harus isi pulsa lagi buat OTP ini aplikasi pemerintah apa sales BCA?.",aplikasi bayar mudah virtual baca pakai mybca otomatis dowload daftar mybca isi pulsa otp aplikasi perintah sales baca,negatif,negatif,negatif
664,sangat memudahkan sekali bagi yg sibuk dengan adanya sistem ini amanah lancar dan cepet pengiriman nya...semoga lebih berkembang lagi sistemnya Terimakasih.,mudah sibuk sistem amanah lancar cepat kirim nyasemoga kembang sistem terimakasih,positif,positif,positif
665,"Kenapa ya sekelas pemerintah soal aplikasi ga ada yg beres. Habis update jadi gagal bayar mulu. Mau BAYAR doang susahnya ampun, SAYA YANG BAYAR SAYA YANG REPOT. Lucu banget emang.",ya kelas perintah aplikasi beres habis update gagal bayar mulu bayar doang susah ampun bayar repot lucu banget,negatif,negatif,negatif
666,"Alhamdulilah tgl 28 jan bayar di ind*maret dan tgl 31 jan, sudah sampai di antar rumah... 👍👍 Lebih praktis, mudah dan transparan Dan terhindar dari calo.. Karena di sini walaupun bayar pajak di SIMLING masih ada biaya di luar tagihan pajak, dan tidak sedikit pula biaya jin/pungli itu 🤭🤭🤭",alhamdulilah tanggal bayar indmaret tanggal rumah praktis mudah transparan hindar calo bayar pajak simling biaya tagih pajak biaya jinpungli,positif,positif,positif
667,pengiriman cepat walaupun diawal masukkan data terkendala..... 3 hri sampai stnk nya,kirim cepat awal masuk data kendala stnk ya,positif,positif,positif
668,Pelayanan bagus bikin perpanjang STNK awal nya ragu tapi percaya dan alhamdulillah amanah,layan bagus bikin panjang stnk ya ragu percaya alhamdulillah amanah,positif,positif,positif
669,"mau bayar pajak aja sulit, ni aplikasi gabisa dipake",bayar pajak sulit nih aplikasi pakai,negatif,negatif,negatif
670,terus ditingkatkan pelayanan nya,tingkat layan ya,positif,positif,positif
671,"bagus, pelayanan cepat 3 hari sampai rumah",bagus layan cepat rumah,positif,positif,positif
672,"verifikasi wajah salah terus susah wkwk ga jelas, mentang mentang foto KTP gua kucel ga sama pas foto selfie ga di verivikasi , sistemnya kaku banget",verifikasi wajah salah susah wkwk mentang mentang foto ktp gua kucel pas foto selfie verivikasi sistem kaku banget,negatif,negatif,negatif
673,pelayanan cepet👍,layan cepat,positif,positif,positif
674,"aplikasinya tidak bisa digunakan lagi, tak bisa diakses",aplikasi akses,negatif,negatif,negatif
675,bagus sangat memudahkan tapi saran dari saya bayar pajak itu seperti bayar listrik gk perlu ktp atau nama pemilik langsung hanya nopol dan no rangka dan bisa dikirim kemana saja di seluruh indonesia,bagus mudah saran bayar pajak bayar listrik ktp nama milik langsung nopol no rangka kirim mana indonesia,positif,positif,positif
676,mempermudah saat membayar pajak,mudah bayar pajak,positif,positif,positif
677,pengirimannya terlalu lama,kirim,positif,positif,positif
678,aplikasi bobrok,aplikasi bobrok,negatif,negatif,negatif
679,"Aplikasi ini sangat membantu sekali, dokumen asli STNK bisa dikirim langsung ke rumah tanpa harus datang langsung ke SAMSAT.",aplikasi bantu dokumen asli stnk kirim langsung rumah langsung samsat,positif,positif,positif
680,mantap bayar pajak makin mudah semoga pembayaran qrisnya cepet jdi,mantap bayar pajak mudah moga bayar qrisnya cepat,positif,positif,positif
681,sangat membantu sekali dan mempermudah. semoga bisa untuk mutasi kendaraan bisa melalui signal tanpa ke tempat asal,bantu mudah moga mutasi kendara signal,positif,positif,positif
682,kenapa pajak Jawa Tengah sangat tinggi,pajak jawa,positif,positif,positif
683,keren... 4 hari proses sampai dirumah mantap.. tinggal penggunaan dana pajak nya nih.. mudah2an amanah,keren proses rumah mantap tinggal guna dana pajak ya nih mudah amanah,positif,positif,positif
684,"udah 2x samsat tahunan, dan tidak ada kendala, coba saja kalau ganti plat bisa online juga, pasti lebih enak lagi.",kali samsat tahun kendala coba ganti plat online enak,positif,positif,positif
685,"Sangat membantu, ga perlu repot antri langsung bayar hasil cetak tunggu di rumah.......",bantu repot antri langsung bayar hasil cetak tunggu rumah,positif,positif,positif
686,"mantap...sangat membantu proses bayar pajak kendaraan bebas pungli /calo, gak perlu antri dan pastinya gak harus ribet foto copy berkas segala pokoknya sangat puas dengan aplikasi ini 👍👍👍",mantapsangat bantu proses bayar pajak kendara bebas pungli calo antri pasti ribet foto copy berkas pokok puas aplikasi,positif,positif,positif
687,stnk sudah sampai terima kasih SIGNAL,stnk terima kasih signal,positif,positif,positif
688,bayar pajak semudah usap2 layar hp,bayar pajak mudah usap layar hp,positif,positif,positif
689,rapih,rapi,positif,positif,positif
690,"mantap,bayarnya GK ribet, mau tanya kalau bayar bukan milik sendiri gimana ya ?",mantapbayarnya ribet bayar milik ya,positif,positif,positif
691,"lupa banget harusnya byr d awal bulan br ingat d akhir bulan,cari informasi di google akhirnya download aplikasi SIGNAL,,mudah,aman,amanah pengiriman cepat ,, terimakasih untuk Samsat memudahkan masyarakat, sukses tetap jaya",lupa banget byr bulancari informasi google download aplikasi signalmudahamanamanah kirim cepat terimakasih samsat mudah masyarakat sukses jaya,positif,positif,positif
692,"Sudah sangat enak untuk pembayaran pajak saat ini, tinggal ditingkatkan saja respon loading untuk membaca data dari databasenya masih terasa kurang responsif.",enak bayar pajak tinggal tingkat respon loading baca data databasenya responsif,positif,positif,positif
693,alhamdulillah bayar pajak lebih mudah pakai signal,alhamdulillah bayar pajak mudah pakai signal,positif,positif,positif
